inter_seq	cat	target	pred_path
[305, 172, 54, 314, 1, 350, 352, 301]	3	323	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
[305, 172, 54, 314, 1, 350, 352, 301]	3	300	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
[305, 172, 54, 314, 1, 350, 352, 301]	3	294	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
[305, 172, 54, 314, 1, 350, 352, 301]	3	295	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352, 301]	3	35	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352, 301]	3	297	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352, 301]	3	316	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352, 301]	3	346	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352, 301]	3	218	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352, 301]	3	223	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352, 301]	3	306	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352, 301]	3	173	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352, 301]	3	331	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301, 302]	3	310	[310]
[305, 172, 54, 314, 1, 350, 352, 301, 302]	3	312	[310, 312]
[305, 172, 54, 314, 1, 350, 352, 301, 302]	3	337	[310, 312, 337]
[305, 172, 54, 314, 1, 350, 352, 301, 302]	3	319	[310, 312, 337, 319]
[305, 172, 54, 314, 1, 350, 352, 301, 302]	3	311	[310, 312, 337, 319, 311]
[305, 172, 54, 314, 1, 350, 352, 301, 302]	3	336	[310, 312, 337, 319, 311, 336]
